"Hey @KRQEMark ,no rain in the forecast for Tuesday,right? That's Election Day. And my birthday. Please have Mother Nature cooperate. Please.",iveyjanette_207,35.05867,-106.57624,2014-10-30 14:56:56;
He tastes like you but sweeter,Adrriiii_,32.67119,-107.15429,2014-10-30 14:57:18;
"@DianaMendozaaa so is your ass, drop out and become a stripper and buy me cheese with all the mad money you'd make",stormyransom,35.2136,-106.66606,2014-10-30 14:57:26;
Soo effin' tired.,_keeanaamor,35.60509,-105.99537,2014-10-30 14:57:41;
@SAFARI_BLACK lmao I guess I need to improve the plastic bag idea...,skittlesflow,35.13464,-106.58019,2014-10-30 14:57:59;
I'll try anything twice. ,JackieLegs22,35.09903,-106.57056,2014-10-30 14:58:03;
@nadya_kasyanova Ok bye then,GOTGirl2,35.06828,-106.54643,2014-10-30 14:59:14;
Thanks to Brandon Kennedy http://t.co/HvdyP9j3Oq for having us on the afternoon freeform show. @ KUNM http://t.co/PzIchV0ZrV,CorderoMusic,35.08468,-106.61383,2014-10-30 14:59:21;
Damn you're retarded ,danielrael50,35.15237,-106.52179,2014-10-30 15:00:02;
"We're finally putting up decorations, better late than never ",Pinto1124,35.13324,-106.52708,2014-10-30 15:00:09;
@Gary__Puppet @jennifergould @ktlagingerchan @samontv @KTLAMorningNews @peoplemag There's no male newscaster I'd want...they're too old.,iveyjanette_207,35.05867,-106.57624,2014-10-30 15:00:11;
Someone visit me at work and I'll buy you an ice cream cone lol ,christttxo,34.81631,-106.76416,2014-10-30 15:01:25;
@DarnellxMurders I can't bro bro :( I gotta babysit,Jayliddo,35.06894,-106.66874,2014-10-30 15:01:34;
A 30 min nap is better than no nap :),Comfy_E,35.20893,-106.69389,2014-10-30 15:02:37;
@nadya_kasyanova chicken pot pie!,GOTGirl2,35.06826,-106.54646,2014-10-30 15:02:57;
"@notesforgirlz: when I have to straighten my hair http://t.co/0TAwhzoC1Y"" @saraelgaby hahahahaha xD""",madelyn_alexis,35.14072,-106.54824,2014-10-30 15:03:15;
